no,before,question,after,answer
1,,くし,に刺す。,串
2,,は,がこぼれた刀。,刃
3,空気が,カンソウ,する。,乾燥
4,方法を,モサク,する。,模索
5,,イリョウ,技術の進歩。,医療
6,,ジュヨウ,を満たす。,需要
7,誤りを,シテキ,する。,指摘
8,,コンチュウ,の標本。,昆虫
9,,ソチ,を講じる。,措置
10,救助を,ヨウセイ,する。,要請
11,事情を,コウリョ,する。,考慮
12,,サク,を取り付ける。,柵
13,,はがね,のような肉体。,鋼
14,情景を,ビョウシャ,する。,描写
15,よい,におい,がする。,匂い
16,,ケンバン,楽器の種類。,鍵盤
17,,手さげ,のかばん。,手提げ
18,転校生を,むかえる,。,迎える
19,,ジャマ,が入る。,邪魔
20,息を,ひそめる,。,潜める
21,音楽を,カンショウ,する。,鑑賞
22,,こかげ,で休む。,木陰
23,,ひざ,を抱える。,膝
24,犯人を,とらえる,。,捉える
25,,つり,を楽しむ。,釣り
26,,マンガ,を描く。,漫画
27,読書を,すすめる,。,勧める
28,,サムライ,の姿。,侍
29,,よい,の明星。,宵
30,,タキツボ,に落ちる。,滝つぼ
31,,クワバタケ,が広がる。,桑畑
32,,カタイ,石。,硬い
33,,センモン,の知識。,専門
34,,ソショウ,を起こす。,訴訟
35,,サイケン,を譲る。,債権
36,財政が,ハタン,する。,破綻
37,,ネンポウ,が上がる。,年俸
38,証拠を,インペイ,する。,隠蔽
39,工事の,シンチョク,状況。,進捗
40,,おろし,売り業を営む。,卸
41,,スイソウ,で魚を飼う。,水槽
42,雪山で,ソウナン,する。,遭難
43,,コンダン,会に行く。,懇談
44,原野を,カイコン,する。,開墾
45,,ホニュウルイ,の祖先。,哺乳類
46,熊を,ホカク,する。,捕獲
47,,ボウケン,に旅立つ。,冒険
48,,ケンヤク,生活を送る。,倹約
49,力が,ハクチュウ,する。,伯仲
50,,ハクライ,の品を買う。,舶来
51,,イジン,伝を読む。,偉人
52,,ソウイン,に入る。,僧院
53,,ハンリョ,に恵まれる。,伴侶
54,名画を,モホウ,する。,模倣
55,,ギゾウ,工作をする。,偽装
56,生け花の,ソウケ,,宗家
57,,ジッケイ,と暮らす。,実兄
58,仲の良い,キョウダイ,,兄弟
59,,コクだか,が下がる。,石高
60,,イッセキニチョウ,,一石二鳥
61,,スイトウ,帳をつける。,出納
62,,ナットク,ができる条件。,納得
63,,ひかた,を守る活動。,干潟
64,,もちゅう,のはがき。,喪中
65,辺り一面,あいいろ,でぬる。,藍色
66,,タンもの,を染める。,反物
67,川の,あさせ,を渡る。,浅瀬
68,美しい,にしきえ,。,錦絵
69,,テンランカイ,を開く。,展覧会
70,,ジュンスイ,な気持ち。,純粋
71,,ひとみ,を閉じる。,瞳
72,王に,エッケン,する。,謁見
73,,チャがま,で湯を沸かす。,茶釜
74,,リョウワキ,に抱える。,両脇
75,,ベツむね,に移転する。,別棟
76,,わナ,に取り囲める。,輪縄
77,,さみだれ,が降る。,五月雨
78,,つゆ,明けの空。,梅雨
79,激しい,ふぶき,。,吹雪
80,,フクスウ,の意味を持つ。,複数
81,,ブンミャク,で判断する。,文脈
82,,キョウコク,を歩く。,峡谷
83,,コチョウ,して言う。,誇張
84,,フンソウ,を防ぐ。,紛争
85,意見が,ショウトツ,する。,衝突
86,伝統芸能の,ケイショウ,。,継承
87,礼を,セイトン,する。,整頓
88,野生,チョウジュウ,の保護。,鳥獣
89,サンプルの,ハンプ,。,頒布
90,,ながそで,のシャツ。,長袖
91,,そでぐち,をしぼる。,袖口
92,時計を,まくらもと,に置く。,枕元
93,,キョウボウ,な野生動物。,凶暴
94,,ヒゲキ,をもたらす。,悲劇
95,,ジュウ,を構える。,銃
96,,ユウソウ,な行進曲。,勇壮
97,,デンコウ,が回復する。,電光
98,ヒサンな,結果,になる。,悲惨
99,,オウベイ,を旅する。,欧米
100,適切に,タイショ,する。,対処
101,富を,チクセキ,する。,蓄積
102,急激に進歩すること,ヒヤク,的な発展。,飛躍
103,中世の,かじ,。,鍛冶
104,,リュウサン,カルシウム。,硫酸
105,におう,化合物,。,化合物
106,都会,ボウソウ,で働く。,房総
107,,あわ,が立つ。,泡
108,,ジンボク,を深める。,親睦
109,職場の,ドウリョウ,。,同僚
110,魚の腐った,におい,。,臭い
111,,ジンイ,で支払う。,人為
112,,五百円,コウカ,。,硬貨
113,,まゆだま,を作る。,繭玉
114,,ジョウまえ,をおろす。,錠前
115,,カンジャ,を助ける。,患者
116,歯を,チリョウ,する。,治療
117,,ゴい,を並べる。,語彙
118,優秀,コウオツ,つけがたい。,甲乙
119,清らかな,おとめ,。,乙女
120,建物が,ホウカイ,する。,崩壊
121,,雪崩,が起きる。,雪崩
122,,サキン,技術を学ぶ。,砂金
